id,operator
195,Stadtwerk am See GmbH & Co. KG
196,Wattif Europe GmbH
197,Marktgemeinschaft Bodenseeobst eG
198,SEE.STATT Investment GmbH & Co. KG
199,Hotel Knoblauch GmbH & Co.KG
200,Zahnarztpraxis Dr. Treichel
201,Bidirex GmbH
202,Autohaus Sehner GmbH & Co. KG ZwNl. Hafengarage
203,Kemmergy GmbH
204,enercity AG
205,Autohaus Bernd Ivacic GmbH
206,Autohaus Heermann und Rhein GmbH
207,Competence Park Investment GmbH & Co. KG
208,Autohaus Oskar Bleicher GmbH & Co KG
209,Gramm Energie GmbH
210,Villa Gminder Hotel GmbH
211,On Charge GmbH
212,Hof Schütterle Obst und Ferienwohnungen
213,Regionalwerk Bodensee GmbH & Co. KG
214,Karl-Ingo Schmidt
215,Kettnaker OHG
216,Plattenhardt + Wirth GmbH
217,Autohaus Biggel GmbH
218,Harald Koros
219,Sparkasse Bodensee AdöR
220,EVISPO GmbH
221,Uwe Fahrbach
222,Johannes Wieland
223,Thilo Reiss
224,Hans Hagg
225,Team-Emobility GmbH
226,Augustinum Energiemanagement GmbH
227,Hotel Stadtgarten Einzelunternehmerah@hotel-stadtgarten.de
228,Rakon GmbH
229,Autohaus Ernst Hahn GmbH
230,Gohm + Graf Hardenberg GmbH
231,Gohm + Graf Hardenberg GmbH - Überlingen
232,Uwe Hornauer
233,Walter Geiger
234,Pension Busch
235,Bodensee-Hotel Kreuz GmbH
236,Weinstube Birnauer Oberhof GmbH
237,SCHARR WÄRME GmbH & Co. KG
238,GS Augsburg Hotelbetriebs GmbH
239,Pascal Ripp
240,Roland Buchmann
241,Sebastian Steidle
242,martin wamsler
243,Obstgut Kohler GbR
244,Gemeinde Frickingen
245,Hiller Frischemarkt KG
246,Burgunderhof digestif's GmbH
247,badenova AG & Co. KG
248,naturenergie hochrhein AG
249,Annegret  Litz
250,Marlies Lorenz
251,Autohaus Krüger GmbH
252,Gemeindewerke Gundelfingen GmbH
253,Energie- und Wasserversorgung Kirchzarten GmbH
254,Sutter³ KG
255,Stadt Breisach am Rhein
256,Matthias Gutmann
257,Div Volksbank Breisgau-Markgräflerland
258,Auto Tibi GmbH
259,EDEKA Breisach
260,Stadtwerke MüllheimStaufen GmbH
261,inova e.V.
262,Medartis GmbH
263,Gemeinde March
264,Solemio GmbH
265,Karl Schies GmbH
266,Kaiserstuhl-Reisen GmbH
267,Stadt Vogtsburg im Kaiserstuhl
268,EG
269,Fred Abel GmbH
270,Kaiserstuhl-Camping GmbH&CoKG
271,Stadtwerke Müllheim Staufen GmbH
272,Thomas Betz
273,Bruggaa Resturant
274,Bürger Energie St. Peter eG
275,Waldmeier Kremer Andreas
276,E.ON Drive GmbH
277,Schulz GmbH
278,BMW Autohaus Märtin GmbH
279,Hotel Restaurant zur Sonne E.K
280,Heike  Heinrich
281,Peter Jerschke
282,Simon Scherer
283,Markgräfler Alte Post Hotel GmbH & Co. KG
284,Hotel garni Schacherer
285,Vollmer GmbH & Co.KG
286,Autohaus Pfister
287,Stadt Neuenburg am Rhein
288,Hotel Schwarzmatt e.K.
289,Hotel Burgblick Einzelfirma
290,Autohaus Josef Mayer GmbH
291,Wassmer Spezialmaschinen GmbH
292,Finanzkanzlei in Südbaden GmbH& Co.KG
293,"Hajro Mujevic, Einzelunternehmer"
294,Autohaus Hunzinger GmbH
295,becharged GmbH
296,Autohaus Wittmer GmbH
297,Bellini Verwaltungs GmbH
298,Café Pension Feldbergblick
299,Pluq Assets BV
300,Lewke Photovoltaik Gbr
301,H. und H. Wittmer GmbH
302,Hotel Diana Feldberg-Bärental Verw.- und Betriebsber. GmbH
303,Hetzel Hotel Hochschw. Gmbh und COKG
304,WHB Wohnheim- und Hotelbetriebsgesellschaft UG & Co.KG
305,Martin Börner
306,Rafael Kosak
307,Schlehdorn GmbH
308,Hotel Diana Feldberg
309,Couche-Tard Deutschland GmbH & Co.KG
310,TotalEnergies Marketing Deutschland GmbH
311,Expert Immobilien Consulting
312,Wackenhut GmbH & Co. KG
313,Konacon GmbH
314,SWA InfoCom GmbH
315,WSI Wolfram Schroeder Ingenieursdienstleistungen
316,Johannes-Diakonie Mosbach KdöR
317,SWP Stadtwerke Pforzheim GmbH&Co.KG
318,Andreas Zickner
319,soniKKs Ultrasonics Technology GmbH
320,S.W.w. Schmuckwaren GmbH
321,Fine Fitness GmbH
322,Giuseppe Mangiameli
323,Marcus-Peter Bienek
324,Viktor Leicht
325,Planungsbüro Ralf Maurer
326,Vamshi Mohan Katukuri
327,Oliver  Bleicher
328,Stephan Bode Hotelbetriebs- und Verwaltungs-GmbH
329,Raphael Volz
330,Stephan Bode Hotelbetriebs- und Verwaltungs GmbH
331,Stadtwerke Waldkirch GmbH
332,Peter Kandziorra KG
333,BürgerEnergiegenossenschaft Biederbach & Elztal eG
334,Gemeinde Biederbach
335,Autohaus Schmid GmbH
336,Christian Dahlke
337,Emil Schmolck GmbH
338,Spürgin Holding GmbH
339,Hannelore von Helden
340,Fastned Deutschland GmbH & Co. KG
341,Elmar Lohmüller
342,Hubert Klimmek
343,TRENKLE Machinenbau GmbH
344,Kirschenhof Schmidt
345,Eltroplan Engineering GmbH
346,Elektro Ralf Bickel
347,Rilit coatings GmbH
348,Berggasthof Linde
349,Landgasthof zum Lamm
350,Quantum-Energie
351,Familie Schönstein Immobilien GbR
352,Zimmerei Schwörer GmbH
353,Emanuel Mathes
354,Jens Herb
355,Wessinger
356,"Autohaus Völter, Inhaber Stefan Völter"
357,Bertrandt Technologie GmbH
358,ib company GmbH
359,AH Schestag GmbH
360,Gemeinde Keltern
361,Merz & Renz GmbH & Co.KG
362,Energie- und Wasserversorgung Bruchsal GmbH
363,Dietrich Werner Goll GmbH
364,Katja Häuser-Umstadt
365,Alexander Glass
366,Glaston Germany GmbH
367,next step mobility GmbH
368,e-MITION.world yGmbH
369,Hamberger Brauwerkstatt GmbH
370,Gerhard Laenger
371,Netto Marken-Discount Stiftung & Co. KG
372,HÄHL GmbH
373,Polarstern Erzeugung GmbH
374,Sachverständigenbüro für Elektrotechnik Wolfinger
375,Sparkasse Pforzheim Calw Anstalt des öffentlichen Rechts
376,Karl-Wilhelm Schmitz
377,Thorsten Buchter Verpachtung Einzelunternehmen
378,Tennishalle
379,Thorsten Buchter Verpachtung (Einzelunternehmen)
380,Stadtwerke Ettlingen GmbH
381,Jochen Irion
382,Stadtwerke Mühlacker GmbH
383,Autozentrum Dobler GmbH
384,Sämann Grundstücks GmbH & Co.KG
385,Schrammel Einkaufszentrum GmbH
386,Autohaus Schöttle GmbH
387,Jimbu e.K.
388,Autohaus Brandt und Sohn GmbH
389,Autohaus Briem GmbH & Co. KG
390,Stadtwerke Leinfelden-Echterdingen
391,chargeIQ GmbH
392,Christoph Abberger
393,Walter Czech
394,Autohaus Steck
395,Parkhotel Stuttgart Messe Airport
396,Stadtwerke Leinfelden- Echterdingen
397,dm-Vermögensverwaltungsgesellschaft mbH
398,Filderstadtwerke
399,AMH Airport-Messe-Hotel GmbH
400,AMH Airport Messe Hotel GmbH
401,EJW Tagungszentrum Bernhäuser Forst
402,Ralf Viakowski
403,Dirk Schweizer
404,Frank Wannenmacher
405,amperio GmbH
406,EF S Automobile GmbH Filderstadt
407,Stadtwerke Nürtingen GmbH
408,Russ Jesinger Automobile GmbH & Co. KG
409,Christian  Weinmann
410,Oliver Felten
411,Volkswagen Deutschland GmbH & Co. KG
412,DBF Solutions GmbH
413,Hotel Vetter GmbH & Co KG
414,Gert Schmid
415,Auto Bebion Nürtingen GmbH
416,Emil Löffelhardt GmbH & Co. KG
417,Stadtwerke Neuffen AG
418,Gunnar Fischer
419,FairEnergie GmbH
420,Autohaus Gottfried Maier GmbH
421,Autohaus Weber GmbH
422,alles-bike GmbH
423,HYLA Germany Parkplatz
424,Marc Aschmann
425,Joachim Bätje
426,Moritz Bahr
427,Robert Schmidt
428,Swarco Traffic Systems GmbH
429,Christian Paatsch Einzelunternehmen
430,Class Luft- und Klima-Service GmbH
431,Arteco
432,ePiX Photography
433,Autohaus Kuhn GmbH
434,Bankwitz Energie GmbH
435,Autohaus Entenmann GmbH & Co. KG
436,Tim Kretschmann
437,Stadtwerke Kirchheim unter Teck
438,Stadt Weilheim an der Teck - Eigenbetrieb Stadtwerke
439,Eugen Kirsch
440,Wolfgang König
441,Bernd Siegle GmbH
442,Marian  Gherasim
443,Hagen Stegmüller
444,Jürgen Prakesch Zerspanungstechnik GmbH
445,CEP Consulting Engineering Projects GmbH
446,Martin Kostorz
447,BASTIZI Photovoltaik und Energieeeffizienz
448,JMP Dental GmbH
449,OHD Drehtechnik
450,Sabine Hermann
451,Haug Bioenergie GbR
452,APCOA Deutschland GmbH
453,B+B Parkhaus GmbH & Co.KG
454,Lorenz Hotelbetriebs GmbH
455,GreenCharge GmbH
456,ekz Rettenmaier GmbH & Co KG
457,Autohaus K.M.Scheffler e.K.
458,Christian Matusek
459,Wilhelm Jesinger KG
460,EF S Automobile GmbH Esslingen am Neckar
461,Hotel Berkheimer Hof
462,Drechsler GmbH & Co.KG
463,Object Carpet GmbH
464,Tien Direkt
465,Stadtwerke Horb a.N. Eigenbetrieb
466,Thomas Maier
467,Erich Kronenbitter e.K.
468,Günter Ott - Ihre Gebäudereinigung e.K. Inh. Thomas Ott
469,Autohaus Wehle e.K.
470,Markus Rampf
471,Nusret Köse
472,Unternehmensgruppe fischer GmbH & Co.KG
473,Rainer Himmelsbach
474,Ulrich Willuhn
475,Erhard Gfrörer & Sohn Schotterwerk GmbH & Co. KG
476,EV Ladetechnik GmbH
477,Oest Tankstellen GmbH & Co. KG
478,Stadtwerke Freudenstadt GmbH & Co. KG
479,Otto Wagner GmbH & CO. KG
480,Hotel Langenwaldsee GmbH & Co. KG
481,Jakob Sawazki
482,Karl Henne
483,Autohaus Katz GmbH
484,Michel Fliegans
485,Kleinen IT
486,Hotel Sackmann GmbH
487,Flair Hotel Sonnenhof
488,Therapiezentrum Osterhof e. V.
489,Gemeindewerke Baiersbronn
490,Hotel Heselbacher Hof KG
491,Autohaus Finkbeiner GmbH&Co.KG
492,Autohaus Schleeh Gerhard Schleeh
493,Hotel Restaurant Rössle
494,Autohaus Roth GmbH
495,Bürgerenergie Schwarzwald e.G.
496,Frank Schmelzle
497,Deckert 'Einzelunternehmen'
498,U. & B. Eiermann GbR
499,Fritz Wahr Energie GmbH & Co. KG
500,WeilerWärme eg
501,Auto-Kohler KG
502,Landgasthof Hotel Hirsch
503,Wellnesshotel Hohenrodt Inhaber Werner Jung (Einzelunternehmen)
504,Autohaus Friedrich Barth GmbH & Co. KG
505,Norbert Kräwinger
506,Elektrizitätswerk Mittelbaden AG & Co. KG
507,Maurice Ott
508,NWG Charging GmbH
509,Anton Kainz
510,Kainz  Johann
511,Robert Kainz
512,ALB FILS KLINIKEN GmbH
513,Hänssler GmbH
514,Markus Böbel
515,Alexander Spiller
516,Hahn Sportwagen Göppingen GmbH
517,Eichenhof Hotel GbR
518,Gottfried Zoller
519,R892 GbR
520,Burger Schloz Automobile GmbH & Co. KG
521,Matthias Wölfl
522,Anton Lutz GmbH
523,Christian Reik
524,Johanna Benner
525,Burghotel und Restaurant Staufeneck GmbH & Co. KG
526,Auto-Schmid GmbH
527,Spurwechsel GmbH
528,Kauderer Hotelbetriebs GmbH
529,Rainer Gehrung
530,TK-Energietechnik GmbH
531,Gemeinde Rechberghausen
532,Waldeck Moll GmbH
533,Hocke Equity GmbH
534,Daniel Reinhard
535,Gemeinde Schlat
536,Peter GmbH
537,ILLIX
538,STRAUB WANGEN E-Ladepark
539,Volksbank Göppingen eG
540,AutoSchmid GmbH
541,JS Immobiliengesellschaft UG
542,Autohaus Wilhelm Maier GmbH & Co.KG
543,Autohaus Fetzer GmbH
544,Kräuterhaus Sanct Bernhard KG
545,Wirelane GmbH
546,Matthias  Benkel
547,Autohaus Gungl GmbH & Co. KG
548,Stadtwerke Heidenheim AG
549,Marcus Elvermann
550,Heidenheimer Zeitung Gmbh & Co KG
551,Knödler & Hurler Sicherheitstechnische Anlagen GmbH
552,Autohaus Sing GmbH & Co KG
553,Martin Skrabak
554,Autohaus Marnet GmbH & Co KG
555,Autohaus Walter Mulfinger GmbH
556,JET Tankstellen Deutschland GmbH
557,Stadtwerke Giengen GmbH
558,Kreisbaugesellschaft Heidenheim GmbH
559,Stefan Briel
560,Gerhard Spiegler Photovoltaikanlagen
561,Ingenieurbüro für Kommunikationstechnik Nagel
562,Paul Klein
563,Rudolf Wilfing
564,Thomas Lindenmayer
565,Taxi Stegmaier
566,Bernd Harder
567,MERKUR Immobilien und Bauprojekte GmbH
568,Entega Plus GmbH
569,Stadtwerke Schwäbisch Hall GmbH
570,Autozentrum Beilstein Ritter & Gümüs GmbH
571,Autohaus Neff GmbH
572,Audi AG
573,"Franz Maul, Einzelunternehmen"
574,ZEAG Energie AG
575,Stadtwerke Heilbronn GmbH
576,Holger Roth
577,Schlosskellerei Affaltrach Dr. R. Baumann KG
578,AUTO MEISTER
579,Ev. Tagungsstätte Löwenstein
580,Vollert Anlagenbau GmbH
581,Kreissparkasse Heilbronn AödR
582,Viktor Seder
583,Pilz GmbH
584,Günther GmbH
585,Ladepark FISCHER-ZANDER Erlenbach
586,Magna PT B.V. & Co KG
587,Süwag Vertrieb AG & Co. KG
588,Stadt Bad Wimpfen
589,Siegfried  Lehleiter
590,Martin Sautter
591,Holz-Hauff GmbH
592,Hotel Brandhölzle Voichita u. Günter Hediger GbR
593,Pascal Meidel
594,PVStrom Solar Investments GmbH & Co. KG
595,Tobias Wenzel
596,Flair Hotel Landgasthof Roger
597,Silke van Gameren
598,Gemeinde Untereisesheim
599,Erlebnispark Tripsdrill GmbH & Co. KG
600,Stadt Brackenheim
601,Landpension Kohler
602,Autohaus Bechtel GmbH & Co. KG
603,Gasthaus Hotel Adler
604,"Jan Frieder Dankel, natürliche Person"
605,Autohaus Lindheimer GmbH
606,Klaus Jogwer
607,Zeidler Immobilien GmbH & Co. KG
608,Stuber GmbH
609,Hans-Jürgen Keßler
610,Energielösung GmbH
611,Stadt Bad Rappenau
612,Stadt Neudenau
613,Marcel  Thiele
614,Tatiana Volovik
615,HOCHTIEF Ladepartner GmbH
616,AGROA Raiffeisen eG
617,Bauer Kompost GmbH
618,Irene Hoffmann
619,Timo Wandtke
620,Yilmaz Akdogan
621,BEG Kraichgau eG
622,novuplast GmbH
623,Sebastian Wendel
624,Autohaus Otto Preusch Gmbh u CoKG
625,Heisig EDV
626,Philipp May
627,Autohaus Dieter Kohler e.K.
628,Autohaus Kohler
629,Stadtwerk Tauberfranken GmbH
630,Dieter Hanselmann
631,Friedrich Hoffmann
632,Stephan & Angela Weißer GbR
633,Autohaus Grötzinger GmbH
634,Dorn Bestattungen GmbH
635,Autohaus Knauß GmbH
636,gebauer-elektrotechnik
637,logo - hair & body
638,Raphael Fleisch Photovoltaik
639,Seeklause
640,IMS
641,Adolf Würth GmbH & Co. KG
642,Rist IT-Solutions GmbH
643,inno2grid GmbH
644,Autowelt Binder GmbH & Co. KG
645,Landhotel Beck
646,Hotel Kupferzell
647,Hohenloher Berg Go-Kart und Berg Trampolin Großhandel
648,Timo Lang
649,Schwarz GmbH
650,Autohaus Hannemann GmbH
651,"Nongs-Thaimassage, Einzelunternehmen"
652,"Freie Schule Anne-Sophie, Stiftung Würth"
653,Oliver Ott
654,Autohaus Kunze Service GmbH
655,Markus Guttenson - Einzelunternehmen
656,KRIWAN Industrie-Elektronik GmbH
657,JAKO
658,NetSpeed GmbH IT-Systemhaus
659,Karin Kreidemeier
660,TotalEnergies Charging Solutions Deutschland GmbH
661,Andreas Feuersinger
662,Konrad Hornschuch AG
663,MVV Energie AG
664,MASEG GmbH
665,Alexander Rolli
666,Günter Tritschler
667,Wirsol Aufdach GmbH
668,Sebastian Molitor
669,S&G Automobil AG
670,Bauer Systeme GmbH
671,Teas Energie Solutions GmbH
672,Stadtwerke Bretten GmbH
673,Günther Alexander Hummel
674,Hannich Möbeltransport-Spedition GmbH
675,MVB
676,Graf Hardenberg GmbH
677,Sparkasse Kraichgau Bruchsal-Bretten-Sinsheim AdöR
678,Oharek GmbH
679,Midorion  GmbH & Co. KG
680,Walter Pottiez GmbH
681,Bodo Reinke - BRCarTrans+Versicherungen
682,Strähle Galvanik GmbH
683,Fraunhofer-Gesellschaft e. V.
684,Emscher Lippe Energie GmbH
685,Autohaus Zschernitz GmbH
686,Ungeheuer Automobile GmbH
687,Koray Karakurt
688,Autohaus Gramling Sportwagen GmbH
689,bhg Autohandelsgesellschaft mbH Ettlingen
690,Hotel Engel GmbH
691,IDS GmbH
692,Stadthotel Engel
693,Richard Gramling GmbH & Co. KG
694,BBK Haargefuehl Einzelunternehmen
695,LT Energie Services GmbH
696,Judith Hörger
697,Bernd Appuhn
698,Numbat GmbH
699,Alexander Borell
700,Boris Schneider
701,Jochen Lehmann
702,Autohaus Giraud GmbH
703,ConCom Verwaltungs-GmbH
704,Jan & Mirjam Hildebrandt Stromhandels GbR
705,CTDI GmbH
706,Autohaus Leicht GmbH
707,CION
708,Graf Hardenberg GmbH - Eggenstein
709,von Quast Solar GbR
710,Andreas Müller
711,Brandwein GbR
712,Autohaus Uwe Ratzel GmbH & Co. KG
713,Autohaus
714,Denis Jakel
715,Auto Zschernitz GmbH
716,Ritzerfeld Vermietungs- & Gruncstücksverwaltungs GmbHL
717,Oliver Seng Photovoltaik Einzelunternehmen
718,Golfclub Bruchsal eV
719,Heisenberg Gymnasium e.V.
720,Autohaus Drexler GmbH
721,Dieter Zürn
722,Eugen Gabriel
723,Heike Boos
724,Thomas Schlink
725,Auto-Östringer GmbH
726,Jürgen Weis
727,Lucia Blumhofer
728,Gigahertz GmbH
729,interBOTZ - Lars Botz (Einzelunternehmen)
730,Schreinerei Edmund Ganninger GmbH & Co. KG
731,Thüga Energie GmbH
732,Eheleute Dominik und Ina Veit
733,Volksbank eG
734,René Pasternak
735,Stadtwerke Engen GmbH
736,Autohaus Rolf Moser GmbH
737,Seidl GmbH
738,fitwellPARK
739,Graf Hardenberg Sportwagen GmbH (Hilzingen)
740,Volker Bungert
741,Rafael Weber
742,Gemeindewerke Steißlingen
743,Gemeindewerke Steißlingen (Eigenbetrieb)
744,Stadtwerke Radolfzell GmbH
745,Fahrdienst Radolfzell
746,Georg Wagenhan
747,Landratsamt Konstanz
748,Unterseeschule
749,Stockach Aluminium GmbH
750,Stadtwerke Stockach GmbH
751,Kay Diederichs
752,Autohaus Konrad Martin GmbH & Co KG
753,Philipp Vondeberg
754,Residenz Seeterrasse GmbH
755,Stefan Breyer
756,Seehotel Höri Event GmbH & Co.KG
757,Oliver Schmohl
758,Printec-DS Keyboard GmbH
759,Marcus Eisenhardt
760,PV Michalski GbR
761,Camping  und Ferienpark Orsingen GmbH
762,Stadtwerke Konstanz GmbH
763,Brigitte Neidhart
764,Landhotel Bodensee Alexander Wussow e.K.
765,Charge Construct GmbH
766,Brüder Ley GmbH
767,DQuadrat Real Estate GmbH
768,AIS UG & Co.KG
769,Gohm + Graf Hardenberg GmbH - Konstanz
770,Flotteladen Meser&Hirt UG (haftungsbeschränkt)
771,Autohaus Ludwig Brodmann Inh. Bernd Brodmann
772,Bezirkssparkasse Reichenau Anstalt des öffentlichen Rechts
773,Rene Jackstien
774,Ralph Remensperger
775,ReifenGlatt GmbH
776,Kestenholz GmbH
777,Kurt Spittler
778,Autohaus Stoll GmbH
779,Porsche Zentrum Lörrach Graf Hardenberg Sportwagen GmbH
780,STEP Computer- und Datentechnik GmbH
781,Stefan Niederkofler
782,Rheinhotel Dreiländerbrücke GmbH
783,Petra Fischer
784,H2O GmbH
785,Hotel Höllsteiner Hof
786,Gottstein GmbH Automobile + Motorräder
787,Autohaus Büchle GmbH
788,Dreher + Dreher GmbH
789,Erjon  Dyshniku
790,Marcel Ludwig
791,Parkhaus Am Friedrichplatz
792,Autohaus Lehmann GmbH
793,Hüseyuin Korkmaz
794,Autohaus Tröndle
795,Schwarzwaldmädel-Ferienwohnungen KG
796,Panorama Sonnenalm Einzelunternehmen
797,Sandra  Waßmer
798,Irene Albiez
799,Tobias Trickes Photovoltaik
800,Einrichten Schweigert KG
801,GLS Mobility GmbH
802,Gluckerschule für Bewegung Sport u. Therapie gGmbH
803,Uwe Zeitz
804,Vonovia Energie Service GmbH
805,Stadt Korntal-Münchingen
806,CFC capital finance consulting GmbH
807,Autohaus Holzer GmbH u.co KG
808,Stadtwerke Stuttgart GmbH
809,Kiwon Park
810,Stadtwerke Ditzingen GmbH & Co. KG
811,TRUMPF Immobilien GmbH & Co. KG
812,Matthias Pflügner
813,Jörg0 Gebers
814,Mercedes-AMG GmbH
815,HAHN+KOLB Werkzeuge GmbH
816,Gebr. Lotter KG
817,KCS ENERGY GMBH CO. KG
818,Tschirner u. Fuchs GmbH & Co. KG
819,Volker Herzberg
820,ROMAI Robert Maier GmbH
821,Aydin Karabeyaz
822,Michael Pflugfelder
823,Laing Delta GmbH & Co. KG
824,Joachim Dornfeld
825,Markus Menze
826,Anna und Stefan Witmaier GbR
827,Gemeinde Möglingen
828,EDEKA Versorgungsgesellschaft mbH
829,Andreas Tinter
830,Sven Möller
831,Autohaus Eberhardt GmbH
832,Dieter Teifl GBR
833,Nils Gerhard
834,Autohaus Ebner GmbH - Großbottwar
835,Gemeinde Erdmannhausen; Gebietskörperschaft
836,EA EnergieArchitektur Dresden GmbH
